country, unemployment_percentage
Cocos (Keeling) Islands,0.10
Cambodia,0.30
Qatar,0.60
Thailand,0.70
Gibraltar,1.00
Belarus,1.00
Benin,1.00
Tonga,1.10
Guernsey,1.20
Laos,1.50
Vanuatu,1.70
Palau,1.70
Macau,2.00
Monaco,2.00
Madagascar,2.10
Kuwait,2.10
Singapore,2.20
Cuba,2.20
Vietnam,2.30
Liechtenstein,2.40
Guatemala,2.40
Tajikistan,2.40
Papua New Guinea,2.50
Niger,2.60
Hong Kong,2.60
Isle of Man,2.70
Rwanda,2.70
Czechia,2.80
Guinea,2.80
Liberia,2.80
Iceland,2.80
Faroe Islands,2.80
Japan,2.90
Seychelles,3.00
Switzerland,3.00
Bhutan,3.20
Nepal,3.30
Malaysia,3.40
United Arab Emirates,3.60
Mexico,3.60
Andorra,3.70
Bahrain,3.80
Taiwan,3.80
Germany,3.80
South Korea,3.80
China,4.00
Jersey,4.00
Bolivia,4.00
Burma,4.00
Sri Lanka,4.00
Cayman Islands,4.00
Norway,4.00
Trinidad and Tobago,4.10
Falkland Islands (Islas Malvinas),4.10
Bangladesh,4.10
Israel,4.30
Moldova,4.30
Cameroon,4.30
Hungary,4.40
Malta,4.40
Timor-Leste,4.40
United Kingdom,4.40
United States ,4.40
Saint Kitts and Nevis,4.50
Poland,4.80
Uzbekistan,4.90
New Zealand,4.90
Kazakhstan,5.00
Ecuador,5.10
Netherlands,5.10
Romania,5.30
Indonesia,5.40
Austria,5.40
Panama,5.50
Dominican Republic,5.50
Russia,5.50
Fiji,5.50
Australia,5.60
Saudi Arabia,5.60
Denmark,5.80
Luxembourg,5.90
Honduras,5.90
Azerbaijan,6.00
Montserrat,6.00
Pakistan,6.00
Philippines,6.00
Ireland,6.40
Comoros,6.50
Nicaragua,6.50
Paraguay,6.50
Canada,6.50
Bulgaria,6.60
Sweden,6.60
Peru,6.70
Slovenia,6.80
Togo,6.90
Brunei,6.90
Aruba,6.90
Mauritius,6.90
Chile,7.00
El Salvador,7.00
Lithuania,7.00
Uruguay,7.30
Kyrgyzstan,7.40
Belgium,7.50
Anguilla,8.00
Central African Republic,8.00
Mongolia,8.00
San Marino,8.00
Slovakia,8.10
Costa Rica,8.10
Argentina,8.10
Mali,8.10
Estonia,8.40
Guam,8.40
Equatorial Guinea,8.60
Eritrea,8.60
British Virgin Islands,8.70
Finland,8.70
India,8.80
Bermuda,9.00
Cabo Verde,9.00
Latvia,9.00
Greenland,9.10
Sierra Leone,9.10
Suriname,9.10
Colombia,9.30
Morocco,9.30
Cote d'Ivoire,9.40
European Union,9.40
Uganda,9.40
Ukraine,9.50
France,9.50
Portugal,9.70
Barbados,9.80
Saint Pierre and Miquelon,9.90
The Bahamas,10.00
Turks and Caicos Islands,10.00
Belize,10.10
Tanzania,10.30
Antigua and Barbuda,11.00
Turkmenistan,11.00
Guyana,11.10
Northern Mariana Islands,11.20
Turkey,11.20
Italy,11.40
Georgia,11.50
Puerto Rico,11.50
Maldives,11.60
Algeria,11.70
Mauritania,11.70
Cyprus,11.80
Ghana,11.90
Niue,12.00
Sint Maarten,12.00
Egypt,12.20
Jamaica,12.20
Wallis and Futuna,12.20
Sao Tome and Principe,12.20
Iran,12.40
Curacao,13.00
Tunisia,13.00
Virgin Islands,13.00
Brazil,13.10
Cook Islands,13.10
Nigeria,13.40
Croatia,13.90
Albania,14.00
Saint Helena Ascension and Tristan da Cunha,14.00
New Caledonia,14.70
Oman,15.00
Zambia,15.00
Iraq,16.00
Serbia,16.00
Micronesia Federated States of,16.20
Jordan,16.50
Montenegro,17.10
Spain,17.10
Ethiopia,17.50
Saint Vincent and the Grenadines,18.80
Armenia,18.90
Sudan,19.60
Botswana,20.00
Saint Lucia,20.00
Malawi,20.40
Bosnia and Herzegovina,20.50
French Polynesia,21.80
Greece,22.30
Mozambique,22.40
Dominica,23.00
Nauru,23.00
Macedonia,23.40
North Korea,25.60
Venezuela,26.40
West Bank,26.70
Gaza Strip,26.70
Yemen,27.00
South Africa,27.60
Gabon,28.00
Swaziland,28.00
Namibia,28.10
Lesotho,28.10
American Samoa,29.80
Libya,30.00
Kiribati,30.60
Grenada,33.50
Kosovo,34.80
Afghanistan,35.00
Republic of the Congo,36.00
Marshall Islands,36.00
Kenya,40.00
Haiti,40.60
Senegal,48.00
Syria,50.00
Djibouti,60.00
Burkina Faso,77.00
Zimbabwe,95.00
