country, growth_rate
Bangladesh,13.438
Ethiopia,8.464
China,6.8
Ivory Coast Cote d'Ivoire,7.632
Nepal,7.499
Iraq,7.234
India,7.2
Canada,7.146
DjiboutiDjibouti,7
Cambodia,6.947
LaosLao P.D.R.,6.907
Senegal,6.801
Macau,6.765
Guinea,6.66
Philippines,6.6
Turkmenistan,6.505
Tanzania,6.498
Burkina Faso,6.384
Vietnam,6.3
Rwanda,6.16
Sierra Leone,6.034
Uzbekistan,5.974
New Zealand,5.891
Ghana,5.891
Iceland,5.508
Romania,5.5
Malaysia,5.9
Benin,5.401
Mali,5.3
Panama,5.3
Pakistan,5.277
Indonesia,5.151
Malta,5.142
Turkey,5.111
Kenya,5.022
Guinea-Bissau,5
São Tomé and Príncipe,5
Togo,5
Morocco,4.822
Dominican Republic,4.76
Mozambique,4.749
Central African Republic,4.747
Sri Lanka,4.726
Lesotho,4.636
Maldives,4.551
Malawi,4.5
Nicaragua,4.5
Tajikistan,4.5
Vanuatu,4.5
Botswana,4.477
Uganda,4.443
Madagascar,4.336
Niger,4.203
Bolivia,4.2
Egypt,4.1
Republic of Ireland Ireland,4.092
Seychelles,4.062
Estonia,4
Honduras,4
Moldova,4
East TimorTimor-Leste,4
Slovenia,3.992
Cabo Verde,3.988
Zambia,3.978
Cameroon,3.972
Nauru,3.96
Georgia (country)Georgia,3.959
Dominica,3.936
Mauritius,3.9
Luxembourg,3.875
Paraguay,3.869
Latvia,3.842
Poland,3.842
Costa Rica,3.8
Fiji,3.8
Mauritania,3.762
Sudan,3.745
Thailand,3.708
Albania,3.702
Bulgaria,3.6
Armenia,3.547
Hong Kong SAR,3.536
Guyana,3.532
Lithuania,3.523
Kyrgyz Republic,3.504
Kosovo,3.5
Uruguay,3.5
Czech Republic,3.497
New Zealand,3.48
Islamic Republic of Iran,3.459
Cyprus,3.366
Kazakhstan,3.331
Comoros,3.303
Slovak Republic,3.29
Eritrea,3.259
Tuvalu,3.242
Hungary,3.2
Guatemala,3.162
Sweden,3.098
Israel,3.084
Papua New Guinea,3.084
Spain,3.074
Netherlands,3.064
Tonga,3.055
Canada,3.036
Korea,3.022
Serbia,3
The Gambia,2.999
Montenegro,2.969
Solomon Islands,2.958
Croatia,2.941
Zimbabwe,2.814
Democratic Republic of the CongoDemocratic Republic of the Congo,2.775
Finland,2.756
Kiribati,2.751
St. Kitts and Nevis,2.693
Antigua and Barbuda,2.685
Peru,2.668
Liberia,2.571
Grenada,2.545
Singapore,2.527
Qatar,2.52
Belize,2.506
Afghanistan,2.5
Bosnia and Herzegovina,2.5
Republic of MacedoniaMacedonia,2.5
Portugal,2.49
Bahrain,2.48
Argentina,2.464
Somalia,2.423
Tunisia,2.333
El Salvador,2.3
Jordan,2.3
Austria,2.29
Australia,2.211
St. Vincent and the Grenadines,2.194
United States,2.181
Mexico,2.145
United StatesAmerican SamoaAmerican Samoa,2.135
Germany,2.05
Micronesia,2.041
Ukraine,2.04
Mongolia,2.031
Taiwan,1.983
Denmark,1.932
Marshall Islands,1.908
The Bahamas,1.8
Russia,1.796
Greece,1.755
Colombia,1.7
Jamaica,1.663
United Kingdom,1.656
Belgium,1.648
St. Lucia,1.604
France,1.569
Japan,1.513
Italy,1.507
Lebanon,1.5
Angola,1.476
Algeria,1.457
Chile,1.376
Norway,1.363
United Arab Emirates,1.339
San Marino,1.2
Switzerland,1.008
Haiti,1
Palau,1
Gabon,0.964
Barbados,0.882
Nigeria,0.842
Namibia,0.792
Brazil,0.748
Belarus	,.735
South Africa,0.695
Chad,0.601
Swaziland,0.251
Ecuador,0.2
Saudi Arabia,0.131
Burundi,0.001
Oman,-0.016
Iraq,-0.448
Azerbaijan,-1.04
Suriname,-1.178
Brunei Darussalam,-1.265
Yemen,-2.014
Kuwait,-2.076
United StatesPuerto RicoPuerto Rico,-2.80
Trinidad and Tobago,-3.176
Republic of Congo,-3.63
South Sudan,-6.256
Equatorial Guinea,-7.391
Venezuela,-12
